Item ID,Category,Label,Tag,HealthyA,HealthyB,UnHealthyA,UnHealthyB
B1,Bakery,Apple danish,Unhealthy, ,,Y,
B2,Bakery,Bagel plain,Healthy,Y,,,
B3,Bakery,BBQ Cheese & Bacon Roll,Unhealthy,,,,
B4,Bakery,Butter croissant,Unhealthy,,,,
B5,Bakery,Cheese & Bacon Roll,Unhealthy,,,,
B6,Bakery,Choc Chip hot cross bun,Unhealthy,,,,
B7,Bakery,Cinnamon scroll,Unhealthy,,,,Y
B8,Bakery,Double Choc Muffin,Unhealthy,,,,
B9,Bakery,Fruit filled tart,Unhealthy,,,Y,
B10,Bakery,Ham & Cheese Croissant,Unhealthy,,,,
B11,Bakery,High fibre white bread,Healthy,Y,,,
B12,Bakery,Jam filled doughnut,Unhealthy,,,,Y
B13,Bakery,Multigrain bread,Healthy,,Y,,
B14,Bakery,Rye Bread,Healthy,,,,
B15,Bakery,Wholegrain Wrap,Healthy,,,,
B16,Bakery,Wholemeal bread,Healthy,,,,
B17,Bakery,Wholemeal English Muffin,Healthy,,Y,,
B18,Bakery,Wholemeal Pizza Base,Healthy,,,,
B19,Bakery,Wholemeal roll,Healthy,,,,
DEF1,Dairy Eggs Fridge,Reduced fat custard,Healthy,Y,,,
DEF2,Dairy Eggs Fridge,Reduced fat milk,Healthy,,,,
DEF3,Dairy Eggs Fridge,Ricotta cheese,Healthy,,Y,,
DEF4,Dairy Eggs Fridge,Soy Milk,Healthy,,,,
DEF5,Dairy Eggs Fridge,Protein greek yoghurt,Healthy,,,,
DEF6,Dairy Eggs Fridge,Eggs,Healthy,,,,
DEF7,Dairy Eggs Fridge,Cottage cheese,Healthy,,Y,,
DEF8,Dairy Eggs Fridge,Reduced Fat Cheddar Cheese,Healthy,,,,
DEF9,Dairy Eggs Fridge,Fresh Napoli Sauce,Healthy,Y,,,
DEF10,Dairy Eggs Fridge,Tofu,Healthy,,,,
DEF11,Dairy Eggs Fridge,Champagne Leg Ham,UnHealthy,,,,
DEF12,Dairy Eggs Fridge,Coconut yoghurt,UnHealthy,,,Y,
DEF13,Dairy Eggs Fridge,Salami,UnHealthy,,,,Y
DEF14,Dairy Eggs Fridge,Roast Pastrami Sliced,UnHealthy,,,Y,
DEF15,Dairy Eggs Fridge,Chicken Breast Thinly Sliced,UnHealthy,,,,
DEF16,Dairy Eggs Fridge,Fresh Carbonara Pasta Sauce,UnHealthy,,,,
DEF17,Dairy Eggs Fridge,Middle Bacon,UnHealthy,,,,Y
DEF18,Dairy Eggs Fridge,Silverside sliced,UnHealthy,,,,
DEF19,Dairy Eggs Fridge,Chocolate chip yoghurt,UnHealthy,,,,
DEF20,Dairy Eggs Fridge,Maple Bacon,UnHealthy,,,,
DEF21,Dairy Eggs Fridge,Chicken shredded,UnHealthy,,,,
DEF22,Dairy Eggs Fridge,Kabana,UnHealthy,,,,
DEF23,Dairy Eggs Fridge,Prosciutto Sliced,UnHealthy,,,,
DEF24,Dairy Eggs Fridge,Turkey breast sliced,UnHealthy,,,,
DEF25,Dairy Eggs Fridge,High Protein Chocolate Pudding,UnHealthy,,,,
DEF26,Dairy Eggs Fridge,Sliced Pancetta,UnHealthy,,,,
DEF27,Dairy Eggs Fridge,Smiley Fritz,UnHealthy,,,,
DEF28,Dairy Eggs Fridge,Short Cut Bacon,UnHealthy,,,,
